Job,Education,Marital Status,Contact,Subscription,Call Duration
admin,masters,single,unknown,no,0 hrs 3 mins 3 secs 
admin,masters,single,unknown,no,0 hrs 1 mins 21 secs 
admin,masters,married,unknown,no,0 hrs 0 mins 50 secs 
admin,masters,married,unknown,no,0 hrs 0 mins 54 secs 
admin,Doctorate,single,unknown,no,0 hrs 5 mins 27 secs 
admin,masters,divorced,unknown,no,0 hrs 4 mins 38 secs 
admin,masters,married,unknown,no,0 hrs 1 mins 44 secs 
admin,masters,married,unknown,no,0 hrs 4 mins 58 secs 
admin,masters,single,unknown,no,0 hrs 1 mins 16 secs 
admin,bachelors,married,unknown,no,0 hrs 2 mins 58 secs 
admin,masters,married,unknown,no,0 hrs 3 mins 19 secs 
admin,masters,married,unknown,no,0 hrs 0 mins 41 secs 
admin,unknown,single,unknown,no,0 hrs 1 mins 40 secs 
admin,masters,married,unknown,no,0 hrs 0 mins 46 secs 
admin,bachelors,married,unknown,no,0 hrs 1 mins 47 secs 
admin,masters,married,unknown,no,0 hrs 2 mins 31 secs 
admin,masters,single,unknown,no,0 hrs 8 mins 57 secs 
admin,masters,married,unknown,no,0 hrs 2 mins 23 secs 
admin,masters,single,unknown,no,0 hrs 2 mins 25 secs 
admin,Doctorate,single,unknown,no,0 hrs 3 mins 47 secs 
admin,masters,married,unknown,no,0 hrs 0 mins 20 secs 
admin,masters,divorced,unknown,no,0 hrs 0 mins 48 secs 
admin,masters,married,unknown,no,0 hrs 7 mins 18 secs 
admin,masters,single,unknown,no,0 hrs 6 mins 1 secs 
admin,masters,divorced,unknown,no,0 hrs 2 mins 11 secs 
admin,masters,single,unknown,no,0 hrs 6 mins 58 secs 
admin,Doctorate,married,unknown,no,0 hrs 1 mins 24 secs 
admin,masters,single,unknown,no,0 hrs 13 mins 45 secs 
admin,masters,single,unknown,no,0 hrs 1 mins 57 secs 
admin,unknown,single,unknown,no,0 hrs 1 mins 34 secs 
admin,bachelors,divorced,unknown,no,0 hrs 1 mins 28 secs 
admin,Doctorate,married,unknown,no,0 hrs 18 mins 58 secs 
admin,masters,single,unknown,no,0 hrs 7 mins 24 secs 
admin,masters,divorced,unknown,no,0 hrs 5 mins 57 secs 
admin,bachelors,married,unknown,no,0 hrs 1 mins 1 secs 
admin,masters,divorced,unknown,no,0 hrs 3 mins 12 secs 
admin,masters,divorced,unknown,no,0 hrs 1 mins 20 secs 
admin,masters,married,unknown,no,0 hrs 2 mins 15 secs 
admin,bachelors,married,unknown,no,0 hrs 2 mins 43 secs 
admin,unknown,single,unknown,no,0 hrs 0 mins 21 secs 
admin,masters,single,unknown,no,0 hrs 3 mins 57 secs 
admin,masters,married,unknown,no,0 hrs 4 mins 5 secs 
admin,masters,married,unknown,no,0 hrs 4 mins 16 secs 
admin,unknown,single,unknown,no,0 hrs 6 mins 27 secs 
admin,masters,single,unknown,no,0 hrs 2 mins 39 secs 
admin,masters,married,unknown,no,0 hrs 1 mins 42 secs 
admin,masters,married,unknown,no,0 hrs 2 mins 41 secs 
admin,masters,single,unknown,no,0 hrs 11 mins 12 secs 
admin,masters,single,unknown,no,0 hrs 1 mins 21 secs 
admin,masters,married,unknown,no,0 hrs 7 mins 40 secs 
admin,masters,married,unknown,no,0 hrs 0 mins 47 secs 
admin,masters,married,unknown,no,0 hrs 7 mins 41 secs 
admin,masters,divorced,unknown,no,0 hrs 1 mins 59 secs 
admin,masters,married,unknown,no,0 hrs 1 mins 0 secs 
admin,masters,married,unknown,no,0 hrs 1 mins 29 secs 
admin,masters,single,unknown,no,0 hrs 1 mins 45 secs 
admin,masters,married,unknown,no,0 hrs 1 mins 3 secs 
admin,masters,married,unknown,no,0 hrs 5 mins 21 secs 
admin,masters,married,unknown,no,0 hrs 2 mins 28 secs 
admin,Doctorate,single,unknown,no,0 hrs 6 mins 38 secs 
admin,masters,married,unknown,no,0 hrs 4 mins 3 secs 
admin,bachelors,married,unknown,,0 hrs 5 mins 32 secs 
admin,masters,divorced,unknown,no,0 hrs 8 mins 31 secs 
admin,masters,married,unknown,no,0 hrs 8 mins 10 secs 
admin,masters,single,unknown,no,0 hrs 5 mins 28 secs 
admin,masters,single,unknown,no,0 hrs 4 mins 2 secs 
admin,masters,single,unknown,no,0 hrs 3 mins 23 secs 
admin,Doctorate,single,unknown,yes,0 hrs 21 mins 30 secs 
admin,masters,married,unknown,no,0 hrs 2 mins 38 secs 
admin,masters,married,unknown,yes,0 hrs 14 mins 45 secs 
admin,masters,married,unknown,no,0 hrs 7 mins 16 secs 
admin,masters,married,unknown,no,0 hrs 1 mins 22 secs 
admin,masters,married,unknown,no,0 hrs 9 mins 18 secs 
admin,bachelors,married,unknown,no,0 hrs 1 mins 57 secs 
admin,bachelors,single,unknown,no,0 hrs 1 mins 41 secs 
admin,masters,married,unknown,no,0 hrs 1 mins 13 secs 
admin,Doctorate,single,unknown,no,0 hrs 2 mins 35 secs 
admin,masters,married,unknown,no,0 hrs 4 mins 58 secs 
admin,masters,married,unknown,no,0 hrs 2 mins 19 secs 
admin,masters,married,unknown,no,0 hrs 6 mins 46 secs 
admin,masters,married,unknown,no,0 hrs 1 mins 23 secs 
admin,masters,married,unknown,no,0 hrs 2 mins 27 secs 
admin,masters,married,unknown,no,0 hrs 0 mins 48 secs 
admin,bachelors,married,unknown,no,0 hrs 1 mins 17 secs 
admin,Doctorate,single,unknown,no,0 hrs 7 mins 13 secs 
admin,masters,married,unknown,no,0 hrs 2 mins 7 secs 
admin,masters,divorced,unknown,no,0 hrs 9 mins 4 secs 
admin,masters,single,unknown,no,0 hrs 4 mins 44 secs 
admin,masters,single,unknown,no,0 hrs 4 mins 5 secs 
admin,masters,married,unknown,no,0 hrs 6 mins 57 secs 
admin,masters,married,unknown,no,0 hrs 4 mins 32 secs 
admin,masters,married,unknown,no,0 hrs 1 mins 43 secs 
admin,masters,married,unknown,no,0 hrs 3 mins 29 secs 
admin,masters,single,unknown,no,0 hrs 11 mins 59 secs 
admin,masters,single,unknown,no,0 hrs 10 mins 35 secs 
admin,masters,married,unknown,no,0 hrs 0 mins 44 secs 
admin,masters,married,unknown,no,0 hrs 1 mins 24 secs 
admin,unknown,single,unknown,no,0 hrs 4 mins 6 secs 
admin,masters,married,unknown,no,0 hrs 3 mins 47 secs 
admin,masters,single,unknown,no,0 hrs 1 mins 57 secs 
admin,masters,single,unknown,no,0 hrs 0 mins 22 secs 
admin,masters,married,unknown,no,0 hrs 1 mins 49 secs 
admin,masters,married,unknown,no,0 hrs 0 mins 27 secs 
admin,masters,single,unknown,no,0 hrs 0 mins 51 secs 
admin,masters,single,unknown,no,0 hrs 0 mins 16 secs 
admin,masters,married,unknown,no,0 hrs 3 mins 19 secs 
admin,unknown,married,unknown,no,0 hrs 0 mins 11 secs 
admin,masters,single,unknown,no,0 hrs 1 mins 6 secs 
admin,Doctorate,married,unknown,no,0 hrs 0 mins 11 secs 
admin,masters,married,unknown,no,0 hrs 1 mins 10 secs 
admin,masters,married,unknown,no,0 hrs 1 mins 53 secs 
admin,masters,divorced,unknown,no,0 hrs 2 mins 49 secs 
admin,masters,single,unknown,no,0 hrs 1 mins 51 secs 
admin,masters,married,unknown,no,0 hrs 3 mins 37 secs 
admin,masters,married,unknown,no,0 hrs 1 mins 9 secs 
admin,masters,single,unknown,no,0 hrs 8 mins 4 secs 
admin,masters,single,unknown,no,0 hrs 4 mins 29 secs 
admin,masters,single,unknown,no,0 hrs 4 mins 37 secs 
admin,masters,married,unknown,no,0 hrs 1 mins 4 secs 
admin,masters,married,unknown,no,0 hrs 1 mins 45 secs 
admin,masters,single,unknown,no,0 hrs 2 mins 44 secs 
admin,masters,divorced,unknown,no,0 hrs 1 mins 28 secs 
admin,masters,single,cellular,no,0 hrs 2 mins 27 secs 
admin,masters,divorced,cellular,yes,0 hrs 9 mins 34 secs 
admin,masters,single,cellular,no,0 hrs 2 mins 46 secs 
admin,masters,single,cellular,yes,0 hrs 13 mins 50 secs 
admin,masters,divorced,cellular,no,0 hrs 4 mins 41 secs 
admin,masters,married,cellular,no,0 hrs 0 mins 25 secs 
admin,masters,single,cellular,no,0 hrs 1 mins 35 secs 
admin,masters,single,cellular,no,0 hrs 2 mins 41 secs 
admin,masters,single,cellular,no,0 hrs 4 mins 50 secs 
admin,masters,single,cellular,no,0 hrs 5 mins 4 secs 
admin,masters,married,cellular,no,0 hrs 2 mins 4 secs 
admin,Doctorate,single,cellular,no,0 hrs 2 mins 10 secs 
admin,unknown,single,cellular,yes,0 hrs 11 mins 45 secs 
admin,masters,married,cellular,no,0 hrs 4 mins 9 secs 
admin,masters,divorced,cellular,no,0 hrs 3 mins 19 secs 
admin,Doctorate,married,cellular,no,0 hrs 2 mins 45 secs 
admin,masters,single,cellular,no,0 hrs 1 mins 18 secs 
admin,masters,married,cellular,no,0 hrs 3 mins 34 secs 
admin,bachelors,married,cellular,no,0 hrs 1 mins 4 secs 
admin,Doctorate,married,cellular,no,0 hrs 6 mins 29 secs 
admin,bachelors,married,cellular,yes,0 hrs 10 mins 45 secs 
admin,Doctorate,divorced,cellular,yes,0 hrs 7 mins 6 secs 
admin,masters,married,cellular,no,0 hrs 1 mins 29 secs 
admin,masters,single,cellular,no,0 hrs 3 mins 8 secs 
admin,masters,married,cellular,no,0 hrs 3 mins 0 secs 
admin,masters,married,cellular,no,0 hrs 8 mins 52 secs 
admin,masters,married,cellular,no,0 hrs 1 mins 43 secs 
admin,masters,divorced,telephone,no,0 hrs 11 mins 12 secs 
admin,bachelors,married,telephone,no,0 hrs 3 mins 53 secs 
admin,Doctorate,married,cellular,no,0 hrs 8 mins 50 secs 
admin,bachelors,divorced,cellular,no,0 hrs 3 mins 5 secs 
admin,Doctorate,married,cellular,no,0 hrs 2 mins 23 secs 
admin,masters,married,cellular,no,0 hrs 3 mins 37 secs 
admin,masters,married,cellular,no,0 hrs 5 mins 27 secs 
admin,masters,married,cellular,no,0 hrs 1 mins 29 secs 
admin,Doctorate,married,cellular,no,0 hrs 6 mins 24 secs 
admin,Doctorate,married,cellular,no,0 hrs 4 mins 28 secs 
admin,masters,single,cellular,no,0 hrs 13 mins 13 secs 
admin,masters,single,cellular,no,0 hrs 7 mins 53 secs 
admin,masters,married,cellular,yes,0 hrs 16 mins 22 secs 
admin,masters,married,cellular,no,0 hrs 2 mins 27 secs 
admin,bachelors,divorced,cellular,no,0 hrs 9 mins 2 secs 
admin,masters,divorced,cellular,no,0 hrs 4 mins 28 secs 
admin,masters,married,cellular,no,0 hrs 5 mins 28 secs 
admin,masters,married,cellular,no,0 hrs 7 mins 26 secs 
admin,masters,married,cellular,no,0 hrs 6 mins 0 secs 
admin,masters,single,cellular,no,0 hrs 1 mins 39 secs 
admin,masters,single,telephone,no,0 hrs 5 mins 21 secs 
admin,masters,married,cellular,no,0 hrs 1 mins 22 secs 
admin,masters,divorced,cellular,no,0 hrs 1 mins 7 secs 
admin,masters,married,cellular,no,0 hrs 1 mins 52 secs 
admin,bachelors,married,cellular,no,0 hrs 1 mins 27 secs 
admin,masters,married,cellular,no,0 hrs 0 mins 42 secs 
admin,masters,married,cellular,yes,0 hrs 27 mins 29 secs 
admin,masters,married,telephone,no,0 hrs 1 mins 23 secs 
admin,masters,single,cellular,no,0 hrs 3 mins 47 secs 
admin,masters,married,cellular,no,0 hrs 6 mins 57 secs 
admin,masters,divorced,cellular,no,0 hrs 4 mins 5 secs 
admin,masters,single,cellular,no,0 hrs 2 mins 46 secs 
admin,masters,married,cellular,no,0 hrs 2 mins 16 secs 
admin,masters,married,cellular,no,0 hrs 4 mins 0 secs 
admin,masters,married,cellular,no,0 hrs 1 mins 17 secs 
admin,masters,married,telephone,yes,0 hrs 8 mins 53 secs 
admin,masters,divorced,cellular,no,0 hrs 1 mins 30 secs 
admin,masters,married,cellular,no,0 hrs 2 mins 30 secs 
admin,masters,married,cellular,no,0 hrs 11 mins 13 secs 
admin,Doctorate,single,cellular,no,0 hrs 6 mins 14 secs 
admin,bachelors,married,cellular,no,0 hrs 3 mins 47 secs 
admin,masters,single,cellular,no,0 hrs 6 mins 59 secs 
admin,masters,divorced,cellular,yes,0 hrs 10 mins 52 secs 
admin,masters,single,cellular,no,0 hrs 9 mins 52 secs 
admin,masters,married,cellular,no,0 hrs 8 mins 58 secs 
admin,bachelors,married,telephone,no,0 hrs 1 mins 13 secs 
admin,masters,married,telephone,no,0 hrs 4 mins 24 secs 
admin,masters,married,cellular,no,0 hrs 8 mins 44 secs 
admin,masters,married,cellular,no,0 hrs 1 mins 49 secs 
admin,masters,single,cellular,no,0 hrs 1 mins 54 secs 
admin,bachelors,divorced,cellular,no,0 hrs 4 mins 32 secs 
admin,masters,married,telephone,yes,0 hrs 24 mins 8 secs 
admin,masters,married,cellular,no,0 hrs 1 mins 9 secs 
admin,masters,married,cellular,no,0 hrs 4 mins 34 secs 
admin,masters,married,cellular,no,0 hrs 6 mins 2 secs 
admin,bachelors,married,cellular,no,0 hrs 0 mins 49 secs 
admin,masters,married,cellular,no,0 hrs 13 mins 8 secs 
admin,masters,married,cellular,no,0 hrs 2 mins 6 secs 
admin,masters,married,cellular,no,0 hrs 3 mins 17 secs 
admin,masters,married,cellular,no,0 hrs 1 mins 33 secs 
admin,masters,married,cellular,no,0 hrs 2 mins 10 secs 
admin,Doctorate,divorced,cellular,no,0 hrs 3 mins 46 secs 
admin,masters,single,cellular,no,0 hrs 2 mins 32 secs 
admin,masters,married,cellular,no,0 hrs 3 mins 49 secs 
admin,masters,divorced,cellular,no,0 hrs 1 mins 33 secs 
admin,masters,divorced,cellular,no,0 hrs 9 mins 48 secs 
admin,masters,single,cellular,no,0 hrs 1 mins 0 secs 
admin,masters,married,cellular,no,0 hrs 6 mins 6 secs 
admin,masters,single,cellular,yes,0 hrs 22 mins 22 secs 
admin,masters,single,cellular,no,0 hrs 2 mins 7 secs 
admin,Doctorate,single,telephone,no,0 hrs 0 mins 21 secs 
admin,masters,married,cellular,no,0 hrs 1 mins 45 secs 
admin,masters,married,cellular,no,0 hrs 2 mins 43 secs 
admin,masters,single,cellular,no,0 hrs 4 mins 39 secs 
admin,masters,divorced,cellular,no,0 hrs 3 mins 36 secs 
admin,masters,divorced,cellular,no,0 hrs 3 mins 49 secs 
admin,Doctorate,married,telephone,no,0 hrs 3 mins 5 secs 
admin,masters,single,cellular,no,0 hrs 1 mins 50 secs 
admin,masters,divorced,cellular,no,0 hrs 4 mins 39 secs 
admin,Doctorate,married,cellular,no,0 hrs 5 mins 18 secs 
admin,masters,divorced,cellular,no,0 hrs 4 mins 1 secs 
admin,unknown,married,cellular,no,0 hrs 0 mins 49 secs 
admin,masters,married,cellular,no,0 hrs 3 mins 29 secs 
admin,masters,married,cellular,no,0 hrs 5 mins 22 secs 
admin,masters,divorced,telephone,no,0 hrs 1 mins 12 secs 
admin,masters,married,cellular,no,0 hrs 0 mins 49 secs 
admin,masters,single,cellular,no,0 hrs 1 mins 10 secs 
admin,masters,divorced,cellular,no,0 hrs 6 mins 45 secs 
admin,masters,single,cellular,no,0 hrs 3 mins 21 secs 
admin,masters,married,telephone,no,0 hrs 3 mins 7 secs 
admin,masters,married,cellular,no,0 hrs 4 mins 50 secs 
admin,masters,married,cellular,no,0 hrs 0 mins 37 secs 
admin,Doctorate,single,cellular,no,0 hrs 1 mins 31 secs 
admin,masters,married,cellular,no,0 hrs 2 mins 59 secs 
admin,masters,married,cellular,no,0 hrs 1 mins 58 secs 
admin,unknown,married,cellular,no,0 hrs 9 mins 57 secs 
admin,Doctorate,married,cellular,no,0 hrs 14 mins 11 secs 
admin,masters,divorced,cellular,no,0 hrs 1 mins 9 secs 
admin,masters,divorced,cellular,no,0 hrs 10 mins 52 secs 
admin,masters,married,cellular,no,0 hrs 9 mins 4 secs 
admin,bachelors,single,telephone,no,0 hrs 4 mins 30 secs 
admin,masters,divorced,cellular,no,0 hrs 10 mins 22 secs 
admin,masters,married,cellular,no,0 hrs 1 mins 58 secs 
admin,masters,single,cellular,no,0 hrs 1 mins 52 secs 
admin,masters,married,cellular,no,0 hrs 0 mins 41 secs 
admin,Doctorate,married,telephone,no,0 hrs 1 mins 40 secs 
admin,masters,married,cellular,no,0 hrs 1 mins 32 secs 
